DrugBank ID,Similar Structure
DB01130,"['DB01130', ' DB01410', ' DB14643', ' DB14633', ' DB14644', ' DB14632', ' DB15999', ' DB15566', ' DB01222', ' DB01260', ' DB00288', ' DB14662', ' DB00394', ' DB14221', ' DB14538', ' DB14596', ' DB14543', ' DB14640', ' DB14649', ' DB18737', ' DB14540', ' DB14544', ' DB01047', ' DB14625', ' DB14646', ' DB14545', ' DB06781', ' DB14541', ' DB00180', ' DB14657']"
DB01134,"['DB01134', ' DB06780', ' DB06789', ' DB14677', ' DB12499', ' DB00603', ' DB11440', ' DB01420', ' DB08804', ' DB13943', ' DB13944', ' DB13946', ' DB16001', ' DB16002', ' DB16141', ' DB14541', ' DB13958', ' DB14583', ' DB14540', ' DB01380', ' DB08308', ' DB08619', ' DB14538', ' DB14544', ' DB14545', ' DB14543', ' DB14539', ' DB01395', ' DB13185', ' DB13640']"
DB01136,"['DB01136', ' DB07543', ' DB00960', ' DB13530']"
DB01144,"['DB01144', ' DB13663']"
DB01185,"['DB01185', ' DB00687', ' DB00324', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB13610', ' DB00547', ' DB00620', ' DB08970', ' DB00223', ' DB00663', ' DB09095', ' DB11750', ' DB00741', ' DB04652', ' DB12553', ' DB00253']"
DB01191,"['DB00574', ' DB01191']"
DB01192,"['DB00704', ' DB01192', ' DB06800', ' DB00497', ' DB01183', ' DB04509', ' DB00327', ' DB00956', ' DB06230', ' DB01512', ' DB00844', ' DB14146', ' DB15341', ' DB01565', ' DB09049', ' DB01551', ' DB01531', ' DB00921', ' DB01450', ' DB01548', ' DB16117', ' DB16072', ' DB13471', ' DB01538', ' DB01480', ' DB01497', ' DB00295', ' DB01469', ' DB00318', ' DB01477']"
DB01193,"['DB01193', ' DB04846']"
DB01194,"['DB01194', ' DB03877', ' DB02220', ' DB03221', ' DB02602']"
DB01203,"['DB01203', ' DB01210', ' DB01359']"
DB01210,"['DB01210', ' DB01203']"
DB01214,"['DB01214', ' DB07573']"
DB01217,['DB01217']
DB01222,"['DB01222', ' DB01260', ' DB01410', ' DB00180', ' DB00288', ' DB15835', ' DB01130', ' DB14662', ' DB00591', ' DB18738', ' DB14643', ' DB01047', ' DB14632', ' DB00846', ' DB15999', ' DB14633', ' DB14644', ' DB15566', ' DB14673', ' DB08973', ' DB13751', ' DB14596']"
DB01230,"['DB01230', ' DB13341', ' DB01490', ' DB01447']"
DB01234,"['DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB00324', ' DB00620', ' DB00547', ' DB08970', ' DB11750', ' DB00223', ' DB00663', ' DB09095', ' DB12553', ' DB14640', ' DB14649', ' DB14669', ' DB00687', ' DB01384', ' DB09378', ' DB00596', ' DB14634', ' DB00860', ' DB00959', ' DB08971', ' DB13728', ' DB13158', ' DB13223', ' DB01185', ' DB13208', ' DB14664']"
DB01240,['DB01240']
DB01255,"['DB01255', ' DB07749']"
DB01260,"['DB01260', ' DB01222', ' DB01410', ' DB00180', ' DB15835', ' DB14662', ' DB00288', ' DB00591', ' DB01130', ' DB00846', ' DB01047', ' DB18737', ' DB15566', ' DB14673', ' DB14643', ' DB14632', ' DB15999', ' DB14633', ' DB14644', ' DB08973', ' DB14596', ' DB06786', ' DB13751']"
