DrugBank ID,Doping,Similar Structure
DB00264,1,"DB00264, DB00195, DB09351, DB00335, DB06987, DB13443, DB00187, DB00612, DB13777, DB00866"
DB00265,0,DB00265
DB00266,0,"DB00266, DB00946, DB08663, DB08662, DB08735, DB08736, DB08794, DB00682, DB08496, DB14055, DB12823"
DB00267,0,"DB00267, DB01212, DB13504, DB00229, DB00535, DB00671, DB01413, DB01416, DB00493, DB11505, DB13470, DB01332, DB11485, DB00438, DB01066, DB14879, DB01326, DB13682, DB01328, DB00430, DB00274, DB14725, DB01329, DB09062, DB00923, DB01330, DB13461, DB13638, DB01327, DB04918"
DB00268,0,DB00268
DB00269,0,"DB00269, DB00882, DB06735"
DB00270,0,"DB00270, DB09234, DB01023, DB01054, DB00401, DB00393, DB09236"
DB00271,0,"DB00271, DB09346, DB09347, DB13741, DB04711, DB08945, DB13539"
DB00272,0,DB00272
DB00273,0,"DB00273, DB02894"
DB00274,0,"DB00274, DB09062, DB01330, DB13638, DB01326, DB14725, DB00923, DB01329, DB00229, DB00267, DB01328, DB00430, DB13821, DB01327, DB01331, DB01212, DB13266, DB13778, DB13470, DB00671, DB11935, DB00535, DB13504, DB01416, DB11485, DB00493, DB11505, DB05735, DB14879, DB00567"
DB00275,0,DB00275
DB00276,0,DB00276
DB00277,0,"DB00277, DB01223, DB01303, DB13812, DB00201, DB01412, DB03293, DB14132, DB01778, DB14018, DB00824, DB07954, DB13592, DB13573, DB13449, DB02134, DB09273, DB08844"
DB00278,0,DB00278
DB00279,0,"DB00279, DB00451, DB00509, DB12425, DB01583, DB12629, DB03374, DB01758"
DB00280,0,"DB00280, DB01620, DB09555, DB01114, DB13679"
DB00281,0,"DB00281, DB18588, DB00750, DB08987, DB13082, DB01056"
DB00282,0,"DB00282, DB00630, DB09411"
DB00283,0,"DB00283, DB00245, DB13468, DB01146"
DB00284,0,"DB00284, DB02889, DB03495, DB03617, DB03971, DB04439, DB04453, DB04618, DB02218, DB03269, DB04164"
DB00285,0,"DB00285, DB06700, DB15052"
DB00287,0,"DB00287, DB11519, DB11507, DB11411"
DB00288,1,"DB00288, DB18737, DB01047, DB01410, DB00591, DB14662, DB01222, DB00180, DB01260, DB14673, DB14640, DB14649, DB01130, DB06781, DB14634, DB06786, DB01013, DB00846, DB14664, DB13664, DB15835, DB14643, DB12322, DB08973, DB00620, DB14637, DB14657, DB14632, DB11487, DB15999"
DB00289,0,"DB00289, DB09186, DB00472, DB08472, DB08544, DB06731"
DB00290,0,"DB00290, DB12992, DB13013, DB11467, DB11191, DB05168, DB03469, DB02975, DB05735, DB03614, DB00200, DB15673, DB03317, DB03906, DB12674, DB04803, DB02667, DB11641, DB00361, DB02868, DB15657, DB02832, DB12755, DB00115, DB17390, DB16186, DB00541, DB12586, DB02949, DB16312"
DB00291,0,"DB00291, DB01042"
DB00292,0,"DB00292, DB13021, DB15411"
DB00293,0,"DB00293, DB03541"
DB00294,0,"DB00294, DB00367, DB00717, DB09389, DB06730, DB00624, DB01471, DB01543, DB01564, DB05830, DB06710, DB07768, DB11429, DB12787, DB13169, DB13533, DB14093, DB13710, DB13230, DB14570, DB00253, DB14584, DB00304, DB04652, DB18000, DB04630, DB01481, DB01572, DB00741, DB01540"
